Brand,Model,Battery Capacity (kWh),Efficiency (Wh/km),Top Speed (km/h),Drive Type,Vehicle Weight (kg),Motor Power (kW),Acceleration 0-100 (sec),Charging Time (hours),Range (km)
BYD,Han EV (v2025),95.7,208.7,174.7,FWD,2384.7,308.6,8.3,8.4,433.2
Kia,EV6 Wind (v2024),64.8,185.0,167.2,FWD,1969.6,206.9,9.4,3.4,313.0
Chevrolet,Silverado EV WT (v2023),108.9,209.4,212.4,FWD,2498.1,455.0,6.5,6.0,458.5
BYD,Han EV (v2025),56.3,201.3,158.6,AWD,1872.5,221.5,9.7,5.7,261.9
Volvo,EX30 Twin Motor (v2022),83.9,212.6,164.1,AWD,2423.2,222.3,9.3,3.8,379.9
Porsche,Taycan Base (v2025),66.0,226.3,169.5,AWD,2273.4,228.7,9.1,1.9,277.8
BYD,Dolphin Standard (v2021),100.3,215.9,185.1,AWD,2439.6,306.1,8.8,4.7,434.7
Audi,Q4 40 e-tron (v2025),95.1,214.2,179.8,RWD,2336.4,323.6,8.4,9.0,395.5
Polestar,Polestar 4 Dual (v2024),61.2,209.9,154.6,AWD,1982.1,166.9,10.0,1.8,282.1
Nissan,Leaf e+ (v2024),71.3,194.7,167.7,FWD,1949.8,263.0,9.3,3.0,341.7
Volkswagen,ID.4 GTX (v2023),78.7,198.5,159.9,FWD,2215.2,239.0,9.2,2.8,350.4
Hyundai,Ioniq EV (v2021),89.2,221.1,186.9,RWD,2277.9,288.3,8.3,3.9,358.5
Kia,Soul EV (v2025),86.2,220.4,167.8,RWD,2241.6,207.5,9.4,3.2,344.7
BYD,Han EV (v2021),70.1,201.5,154.3,RWD,2201.4,176.5,10.2,1.9,338.4
Honda,e:Ny1 (v2021),45.4,190.3,162.9,RWD,1916.4,200.8,9.9,1.7,226.8
Tesla,Model X Plaid (v2024),72.9,205.7,186.3,RWD,2221.1,343.0,7.7,5.0,312.1
Audi,e-tron 55 (v2024),60.4,199.6,170.4,AWD,1937.7,223.2,9.5,3.3,277.5
Kia,EV9 GT-Line (v2025),103.9,226.7,186.8,RWD,2422.5,312.2,8.4,5.9,443.0
Mercedes,EQE 350+ (v2021),109.6,219.2,182.4,FWD,2508.6,311.7,8.4,4.1,467.7
Polestar,Polestar 4 Dual (v2025),62.5,192.3,166.0,FWD,1924.7,190.9,9.9,5.2,316.0
Chevrolet,Silverado EV WT (v2022),64.2,182.1,169.0,FWD,1881.4,266.5,9.0,3.7,325.0
BYD,Atto 3 (v2024),87.2,218.8,183.5,AWD,2427.1,370.5,7.8,2.9,354.7
Toyota,bZ4X AWD (v2023),78.9,207.4,165.1,FWD,2244.8,212.9,9.3,2.9,355.5
Porsche,Taycan 4S (v2024),63.3,209.2,199.3,AWD,1980.9,377.7,7.4,1.8,267.9
Honda,e (v2025),73.2,199.9,179.9,FWD,2160.1,254.4,8.6,7.2,349.9
Hyundai,Kona Electric 64kWh (v2021),108.7,217.8,172.4,FWD,2378.5,243.4,8.8,4.4,456.4
Volkswagen,ID.5 GTX (v2025),62.0,207.1,165.3,AWD,1845.9,207.7,10.1,2.0,291.5
Polestar,Polestar 3 Long Range (v2022),53.4,200.2,170.6,RWD,1941.4,218.1,9.5,3.3,251.8
Volvo,EX90 Performance (v2022),85.2,198.0,175.6,FWD,2149.5,315.9,8.8,2.7,400.0
Nissan,Ariya e-4ORCE (v2024),73.7,216.0,176.8,RWD,2090.5,233.9,9.0,5.2,325.2
Hyundai,Ioniq 6 Standard (v2021),93.1,196.4,192.0,RWD,2209.0,285.7,8.5,8.4,421.9
Rivian,R1S Dual Motor (v2021),106.8,245.4,231.3,AWD,2754.8,664.4,3.9,3.3,412.0
BYD,Tang EV (v2025),48.7,193.4,159.1,RWD,1779.1,156.7,10.1,4.3,224.3
Volkswagen,ID.3 Pro (v2022),54.5,202.5,162.3,AWD,1903.3,192.9,10.1,2.9,252.8
Rivian,R1S Quad Motor (v2024),72.6,233.2,180.5,AWD,2277.5,316.9,8.1,1.9,292.0
Toyota,bZ4X FWD (v2021),107.6,219.7,207.4,FWD,2300.0,476.8,6.6,4.1,434.7
Lucid,Air Grand Touring (v2021),83.6,217.7,214.7,RWD,2392.8,523.0,6.0,5.6,350.7
MG,MG4 EV Long Range (v2024),38.1,205.4,159.0,RWD,1816.1,170.3,9.9,1.5,169.0
Porsche,Macan EV 4 (v2023),136.0,275.0,269.4,AWD,3033.0,880.0,2.1,3.5,454.0
Porsche,Taycan Base (v2022),70.7,199.1,189.8,RWD,1839.3,322.6,7.9,2.8,345.0
Volkswagen,ID.3 Pro S (v2023),74.3,209.1,184.9,FWD,1930.2,326.4,7.7,5.7,325.4
BMW,iX xDrive50 (v2023),100.4,226.7,184.8,RWD,2425.7,350.4,8.3,9.7,395.7
Jaguar,I-Pace Black (v2023),53.9,190.6,163.1,FWD,1629.1,161.9,9.6,2.4,258.6
Volkswagen,ID.4 Pro (v2021),54.6,208.8,156.3,AWD,2087.1,152.4,10.2,2.9,242.8
Honda,Prologue EX (v2023),53.4,185.4,159.5,RWD,1851.5,166.7,9.8,2.5,278.6
Rivian,R1T Quad Motor (v2025),63.1,190.4,157.0,RWD,1809.7,213.7,10.0,2.7,303.8
Ford,Mustang Mach-E ER (v2021),89.7,215.2,166.9,RWD,2276.0,229.7,9.4,2.7,376.6
BMW,i5 M60 (v2023),91.4,218.7,174.5,FWD,2450.2,308.5,8.4,3.3,386.3
Hyundai,Ioniq 6 Standard (v2022),99.6,194.4,178.7,RWD,2231.3,341.9,7.8,4.0,484.4
BMW,iX1 xDrive30 (v2021),69.6,205.1,170.5,RWD,1955.2,297.2,8.4,3.8,315.6
Kia,EV9 GT-Line (v2024),50.7,206.8,168.1,AWD,1960.2,209.8,9.6,1.8,233.6
Nissan,Leaf e+ (v2023),43.2,217.2,149.5,AWD,1977.0,114.9,10.8,1.3,189.1
Nissan,Ariya 87kWh (v2025),37.1,184.6,142.0,RWD,1548.1,93.0,11.2,1.6,192.0
Audi,Q4 40 e-tron (v2025),107.7,248.3,207.6,AWD,2447.5,469.5,6.1,7.6,418.3
Jaguar,I-Pace Black (v2023),97.9,228.4,181.7,FWD,2440.4,333.3,8.3,4.4,396.3
Kia,EV6 Light (v2021),103.5,224.3,188.3,FWD,2397.0,357.0,7.7,2.8,411.3
MG,MG4 EV Long Range (v2024),59.8,217.1,164.2,AWD,2023.5,240.0,9.0,2.5,243.3
Volkswagen,ID.3 Pro (v2025),100.0,214.3,177.6,FWD,2251.2,311.4,8.1,3.2,421.5
Rivian,R1T Quad Motor (v2024),61.4,218.1,195.2,AWD,1918.1,480.4,6.1,6.4,264.8
Volvo,C40 Recharge (v2024),96.4,223.6,188.1,AWD,2259.2,382.9,8.3,7.5,382.5
Nissan,Leaf 40kWh (v2025),68.6,205.8,178.7,AWD,1971.3,288.0,9.4,1.8,304.3
Ford,Mustang Mach-E GT (v2024),104.8,229.9,178.6,RWD,2398.4,314.2,8.3,4.0,411.4
BYD,Han EV (v2025),68.6,204.4,157.0,AWD,2133.4,152.9,9.9,2.8,328.5
Porsche,Macan EV 4 (v2023),131.8,223.5,217.0,RWD,2680.1,463.7,6.5,3.7,523.0
BMW,iX xDrive50 (v2024),77.3,198.7,159.0,RWD,2222.5,188.4,9.6,3.2,377.3
Lucid,Air Grand Touring (v2025),104.1,226.8,236.9,AWD,2417.0,642.8,4.7,3.9,444.9
Audi,Q4 Sportback (v2023),106.4,233.4,176.6,AWD,2414.7,313.3,8.4,2.9,406.7
Lucid,Air Touring (v2021),87.3,241.8,200.2,AWD,2222.2,478.9,6.5,3.6,337.8
Polestar,Polestar 2 Long Range (v2024),101.5,239.0,205.8,FWD,2413.1,431.9,6.8,7.2,384.5
Mercedes,EQE SUV 350 (v2022),89.9,240.0,179.1,AWD,2455.0,307.4,8.6,3.9,332.3
Volvo,EX90 Twin Motor (v2022),62.1,215.9,162.0,FWD,1833.3,241.4,9.4,3.0,277.4
Jaguar,I-Pace Black (v2024),57.0,207.5,150.4,AWD,1802.4,134.3,10.4,2.0,266.8
BMW,iX M60 (v2025),62.5,190.8,156.9,RWD,1947.7,160.9,10.2,3.0,299.8
Nissan,Leaf e+ (v2021),67.8,191.8,174.3,FWD,2116.8,257.4,9.7,5.7,323.6
Toyota,bZ4X AWD (v2021),57.0,205.7,171.5,RWD,1879.7,240.0,9.4,3.3,267.6
Chevrolet,Blazer EV LT (v2022),88.5,203.0,170.6,FWD,2074.5,314.6,8.6,2.6,389.2
MG,MG4 EV Long Range (v2023),54.0,200.7,157.8,AWD,2078.5,158.3,9.7,4.7,256.1
Toyota,bZ4X FWD (v2021),78.8,217.8,171.1,AWD,2217.2,249.1,9.5,5.0,318.5
Audi,Q6 e-tron (v2024),50.8,176.2,159.7,FWD,1599.5,167.7,9.5,2.3,263.1
Toyota,bZ3 (v2025),63.7,194.1,157.7,FWD,1864.4,174.3,9.9,2.0,301.3
Hyundai,Ioniq 6 Long Range (v2025),72.1,219.1,177.2,FWD,2203.4,315.5,9.0,4.1,306.7
Ford,Mustang Mach-E SR (v2022),67.8,199.9,174.0,AWD,1938.0,286.8,9.1,2.1,324.0
Audi,RS e-tron GT (v2025),79.9,210.1,173.2,FWD,2186.0,282.4,8.5,2.7,359.6
Chevrolet,Silverado EV WT (v2023),77.2,205.3,159.2,AWD,2013.2,291.3,8.7,2.2,353.4
BMW,iX1 xDrive30 (v2023),92.7,216.6,169.7,AWD,2428.1,256.2,8.9,7.1,416.4
BYD,Tang EV (v2023),75.3,222.0,180.3,AWD,2292.7,307.5,8.2,3.0,298.4
Volvo,EX30 Twin Motor (v2025),108.8,219.4,189.5,RWD,2562.4,304.3,8.6,4.2,474.0
Chevrolet,Silverado EV WT (v2025),105.9,211.0,175.3,FWD,2549.2,249.5,9.1,3.6,445.2
Lucid,Air Touring (v2025),111.8,245.4,213.5,AWD,2662.2,536.0,6.0,8.6,443.9
Chevrolet,Equinox EV (v2025),99.6,220.5,175.6,FWD,2504.1,271.8,8.4,2.7,436.3
Hyundai,Ioniq 5 N (v2023),103.1,220.3,173.2,RWD,2330.9,277.4,8.8,2.4,434.1
Toyota,bZ4X FWD (v2025),74.5,207.4,153.5,FWD,2093.3,166.9,9.9,1.8,348.7
Chevrolet,Bolt EV (v2021),61.1,201.6,151.6,RWD,1937.0,166.1,10.2,1.5,279.8
Lucid,Air Touring (v2022),108.0,250.8,270.7,AWD,2515.3,880.0,2.1,6.3,383.4
Chevrolet,Silverado EV WT (v2024),81.4,204.7,170.7,AWD,2044.0,275.9,8.7,2.8,372.4
BMW,i5 M60 (v2024),86.4,211.6,170.5,FWD,2312.2,196.3,9.6,2.9,394.7
Chevrolet,Blazer EV LT (v2023),80.6,220.2,178.4,AWD,2366.0,296.6,9.0,5.1,354.0
Mercedes,EQC 400 (v2025),87.8,227.0,184.3,AWD,2335.9,338.5,7.9,2.6,348.1
Chevrolet,Bolt EV (v2024),107.5,224.1,205.1,FWD,2459.5,445.5,7.2,4.1,447.9
BMW,i7 xDrive60 (v2022),96.5,211.1,194.8,RWD,2418.8,432.7,7.4,4.1,420.1
Tesla,Model Y LR (v2022),132.7,267.5,273.6,AWD,2747.5,860.9,2.1,4.8,458.7
BMW,iX M60 (v2021),108.0,214.5,199.7,FWD,2403.4,400.8,7.2,2.7,449.7
Nissan,Leaf e+ (v2023),48.2,192.6,153.1,RWD,1732.5,180.4,9.8,2.4,226.8
Nissan,Ariya e-4ORCE (v2025),66.3,209.4,165.1,RWD,2060.5,213.8,9.5,6.6,295.6
Ford,F-150 Lightning Extended (v2024),86.6,199.5,170.1,FWD,2122.4,226.4,9.9,8.5,411.8
BYD,Seal AWD (v2023),88.3,193.6,167.6,RWD,2110.2,200.5,8.9,3.2,410.9
Tesla,Model X LR (v2025),129.5,271.3,275.0,AWD,2737.5,880.0,2.1,12.3,447.2
Jaguar,I-Pace EV400 (v2021),87.8,204.1,183.5,FWD,2205.4,324.8,8.3,8.1,421.6
Ford,Mustang Mach-E SR (v2025),81.9,229.0,164.8,AWD,2380.1,256.2,9.3,3.7,343.1
BYD,Atto 3 (v2025),68.8,182.1,166.9,FWD,1968.7,261.5,9.1,3.1,341.5
Nissan,Ariya 63kWh (v2022),55.0,188.7,167.4,AWD,1971.3,228.2,8.8,2.0,272.6
Nissan,Ariya e-4ORCE (v2025),35.3,183.3,154.6,FWD,1650.3,150.6,10.1,1.2,170.7
BMW,i7 xDrive60 (v2025),65.0,193.9,157.9,FWD,2083.4,223.5,9.6,4.7,308.7
Volvo,EX30 Twin Motor (v2025),64.2,205.6,156.3,FWD,2069.8,168.6,10.3,1.9,277.5
Porsche,Taycan 4S (v2023),111.0,246.9,260.0,RWD,2544.1,797.4,2.3,3.8,430.5
Mercedes,EQB 300 (v2023),88.6,224.8,160.4,AWD,2485.5,225.5,9.3,2.5,356.3
Toyota,bZ4X AWD (v2025),84.5,209.6,158.5,RWD,2224.4,230.9,9.7,2.7,360.1
BYD,Atto 3 (v2021),67.2,201.6,172.0,FWD,2117.1,241.0,9.2,3.8,319.0
Mercedes,EQE 350+ (v2021),59.7,185.0,152.7,FWD,1838.7,140.9,10.1,1.9,301.5
Volvo,EX90 Twin Motor (v2022),88.5,222.4,191.1,FWD,2454.1,329.5,8.3,7.7,368.7
Mercedes,EQS 450+ (v2025),94.1,208.5,175.8,RWD,2194.0,295.5,8.9,7.1,414.4
Hyundai,Ioniq 6 Standard (v2024),88.7,205.9,171.7,FWD,2095.3,247.4,9.2,3.2,405.0
Jaguar,I-Pace EV400 (v2022),69.8,197.8,160.9,FWD,1960.5,191.8,10.1,4.9,341.1
Chevrolet,Silverado EV WT (v2024),58.6,211.3,172.8,AWD,2112.3,238.9,9.2,2.1,267.9
Polestar,Polestar 2 Standard (v2025),55.0,184.3,169.3,FWD,1726.9,242.1,9.4,1.9,271.9
Honda,e:Ny1 (v2025),73.1,199.3,173.4,FWD,2194.0,272.9,9.6,4.0,341.4
Volvo,C40 Recharge (v2025),101.9,214.8,164.7,AWD,2445.0,224.4,9.4,6.1,444.5
Nissan,Leaf e+ (v2025),46.9,180.2,145.6,RWD,1708.3,121.6,10.1,1.9,247.0
MG,MG4 EV Standard (v2025),47.3,188.1,154.8,RWD,1790.2,161.2,9.8,2.4,226.0
Jaguar,I-Pace HSE (v2025),107.6,211.6,180.0,FWD,2395.0,270.0,9.1,3.2,477.4
Hyundai,Ioniq 5 Standard (v2025),60.7,204.2,172.2,FWD,2098.8,245.4,9.1,1.6,275.0
Mercedes,EQB 300 (v2024),87.4,223.7,179.0,FWD,2366.3,315.6,8.0,6.0,381.1
Ford,Mustang Mach-E SR (v2021),50.0,178.6,154.8,AWD,1801.5,139.0,10.5,3.4,258.8
Porsche,Taycan Turbo (v2025),101.0,249.4,201.2,AWD,2537.2,470.3,6.4,4.9,368.3
BYD,Dolphin Extended (v2024),71.8,204.4,173.6,FWD,2067.2,295.1,8.5,2.1,340.7
Ford,Mustang Mach-E ER (v2022),61.6,194.3,153.1,FWD,1824.3,145.3,10.0,3.0,307.5
MG,MG4 EV Long Range (v2025),64.9,194.3,164.3,RWD,2086.2,240.9,9.1,2.6,308.7
Polestar,Polestar 4 Dual (v2024),102.7,221.1,178.5,FWD,2491.5,293.3,8.0,2.5,447.9
Porsche,Macan EV 4 (v2025),119.9,258.9,205.3,AWD,2734.0,442.3,6.5,3.5,412.4
Lucid,Air Grand Touring (v2023),87.4,226.4,234.3,RWD,2207.8,678.7,4.1,6.9,345.6
Hyundai,Kona Electric 64kWh (v2022),97.8,225.6,193.0,RWD,2468.7,413.3,6.9,3.2,394.7
BMW,i5 eDrive40 (v2025),79.1,219.2,186.4,RWD,2277.6,326.7,8.4,2.7,342.0
Kia,Soul EV (v2023),68.9,228.6,184.0,AWD,2091.7,292.2,8.1,2.4,265.5
Porsche,Taycan Turbo S (v2021),98.5,253.7,240.8,AWD,2492.4,628.3,4.4,2.7,367.9
Rivian,R1T Dual Motor (v2023),66.7,210.5,216.1,RWD,2098.0,513.3,5.1,5.3,292.7
Chevrolet,Blazer EV LT (v2021),86.8,217.4,184.5,AWD,2297.6,347.7,7.6,4.0,384.8
Honda,e (v2021),74.2,202.8,183.6,RWD,1943.4,282.7,9.2,6.8,350.6
Rivian,R1S Quad Motor (v2025),76.3,230.6,217.7,AWD,2192.9,544.7,5.7,6.5,291.2
Volvo,C40 Recharge (v2021),87.7,228.7,158.3,AWD,2483.7,204.5,9.3,4.9,347.0
Volkswagen,ID.3 Pro (v2025),55.2,210.7,155.6,FWD,1980.8,127.3,10.4,3.1,239.5
Kia,Niro EV (v2022),80.6,213.6,172.8,AWD,2121.0,250.4,9.2,5.7,369.2
Hyundai,Ioniq EV (v2021),108.2,215.6,178.3,RWD,2545.7,325.0,8.9,3.8,484.2
BMW,i5 M60 (v2023),91.0,212.9,150.2,FWD,2305.0,217.3,9.1,4.0,396.0
